5,1,50.13,55.73,66.52,75.83,76.35,77.59,71.32,80.67,77.34,83.45,83.49,82.34,80.31,83.88,80.81,83.43,81.85,85.08,84.52,84.73,84.9,86.27,85.55,85.09,85.72,86.34,87.55,83.86,87.01,86.58,87.76,86.97,85.08,85.79,85.6,87.71,86.96,86.58,87.46,88.84,87.89,87.95,88.34,88.32,88.41,88.73,88.79,88.05,88.52,89.2,88.51,87.99,87.79,88.64,88.44,88.98,88.07,88.52,89.1,88.78,87.63,87.13,88.75,88.98,88.42,88.42,89.53,88.94,89.27,89.32,88.5,87.49,89.07,89.17,89.34,89.41,89.57,89.02,89.88,88.35,89.02,88.22,89.37,88.73,88.45,89.17,88.88,88.79,89.61,88.91,89.82,88.21,88.83,89.4,89.65,89.17,89.37,89.41,89.74,89.07
5,2,46.12,66.09,70.11,73.21,77.02,78.47,81.07,78.13,81.94,81.82,84.46,82.53,81.11,81.25,83.77,83.88,86.05,84.16,85.52,85.78,84.45,83.76,87.67,86.76,83.28,83.88,87.13,87.23,86.4,86.24,87.43,87,87.9,88.9,86.69,87.74,87.88,87.24,87.67,87.89,88.19,88.29,87.95,88.14,88.02,88.78,86.93,86.65,87.04,88.15,89.25,88.94,88.7,88.57,88.41,88.05,88.41,88.68,89.53,89.36,88,88.78,89.11,89.43,88.38,88.86,89.28,89.68,89.64,88.65,90.08,89.46,89.88,87.75,89.96,89.8,89.41,89.28,89.71,89.17,89.77,89.11,89.3,88.55,89.94,89.14,88.96,89.6,90.14,88.85,89.5,89.93,90.27,89.33,89.29,89.87,88.98,89.83,90.2,90.23
5,3,49.55,65.15,68.38,72.29,79.53,78.28,77.18,78.92,83.27,77.04,81.23,81.34,83.2,81.28,81.92,84.48,84.43,81.98,83.39,86.93,85.65,83.02,84.61,86.52,86.62,87.2,87.52,84.8,86.7,86.84,87.44,88.42,87.12,83.29,87.61,87.78,86.77,87.25,86.45,87.47,87.15,85.36,88.56,86.49,86.56,89.19,87.98,88.13,88.27,87.5,88.11,88.61,89.1,87.14,88.97,88.73,88.72,87.82,88.61,88.07,88.39,88.52,89.5,88.71,89.07,89.62,89.2,89.16,88.09,89.55,88.96,89.11,89.7,87.15,89.19,88.64,88.87,89.31,89.38,89.26,89.56,89.37,89.63,89.49,89.39,89.53,87.77,89.85,89.52,89.51,89.68,89.28,90.18,89.85,90.05,90.23,90.2,89.5,89.63,90.3
5,4,54.3,60.25,66.35,75.26,75.16,77.66,77.14,79.42,79.89,78.66,84.58,84.01,82.43,82.7,85.48,85.33,84.14,85.6,85.42,84.83,85.63,85.09,85.59,86.11,86.41,85.77,86.03,87.6,86.16,87.44,87.85,86.75,86.71,88.17,86.47,87.91,84.58,85.66,87.91,87.58,87.7,87.86,86.52,88.06,88.39,87.94,87.65,88.4,88.7,87.23,87.55,89.58,88.28,89.72,88.72,88.98,87.83,88.62,88.57,88.15,88.12,89.29,89.19,88.58,88.34,88.57,89.18,88.98,89.33,88.04,88.97,88.3,89.03,88.62,88.39,89.85,88.77,88.13,89.55,89.84,88.73,89.83,88.5,88.12,89.51,90.01,89.08,89.47,89.09,89.67,90.16,89.98,89.56,90,90.07,89.33,89.67,89.7,89.76,89.35
4,1,55.81,66.99,68.39,73.24,78.74,77.31,78.61,79.58,81.8,82.36,83.02,83.42,83.29,84.38,84.66,82.55,86.08,86.96,85.49,85.23,86.69,87.23,85.17,84.63,87.03,86.22,85.87,87.54,85.86,85.1,85.15,87.14,86.21,87.1,87.91,87.65,87.58,88.23,88.19,87.22,88.27,88.18,88,88.24,87.23,88.26,88.01,89.24,89.13,88.28,88.58,87.53,88.78,87.83,89.27,88.72,87.9,89.12,87.59,88.42,89.07,89.45,89.28,88.51,89.68,88.51,86.9,88.9,89.56,89.04,90.19,88.14,89.09,90.15,90.37,89.3,90.16,90.07,88.68,88.61,88.12,87.49,89.38,89.47,88.56,89.57,90.49,90.22,90.43,89.54,90.58,90.18,90.66,90.15,89.83,90.41,90.11,89.45,90.23,90.39
4,2,58.06,61.8,70.27,72.41,77.52,79.4,81.18,79.49,79.64,81.56,81.82,83.34,84.89,84.4,80.9,84.27,81.25,83.5,85.11,82.98,86.39,85.8,86.13,83.65,85.24,83.68,85,83.49,86.89,86.81,86.03,88.1,87.02,86,87.1,87.32,88.23,87.93,87.29,87.6,86.63,88.61,88.18,87.76,89.21,88.51,88.66,88.24,86.22,88.48,87.76,89.14,89.03,88.1,88.71,88.41,89.45,87.11,88.77,89.09,89.2,89.1,88.55,88.83,89.11,87.75,89.62,89.82,89.61,87.96,89.42,89.18,90.06,89.61,88.4,90.1,87.23,89.74,89.56,89.34,90.08,90.04,89.64,88.48,89.4,89.24,89.97,88.98,90.27,89.9,89.72,89.25,89.27,90.18,89.71,89.16,89.34,89.92,90.36,89.5
4,3,56.37,61.57,70.81,74.87,76.68,78.44,79.48,79.61,78.2,83.38,83.62,82.03,85.73,83.91,85.11,83.09,84.05,83.96,86.23,86.19,83.78,83.07,84.12,80.21,85.49,84.51,85.57,86.85,86.42,87.01,85.09,87.71,86.75,87.42,87.57,87.4,87.57,88.17,87.12,88.23,88.39,87.77,87.61,88.39,88.35,88.35,88.5,88.65,87.04,88.43,88.33,87.53,88.21,87.02,87.89,88.67,88.83,88.91,88.57,89.07,87.81,89.62,89.02,89.29,88.99,88.74,89.5,89.29,88.84,89.47,89.17,89.71,88.77,89.78,89.34,88.45,89.8,89.47,89.96,89.85,89.54,88.89,89.02,89.41,89.25,89.72,89.82,89.55,89.43,89.27,90.17,90.2,90.3,89.71,89.51,89.04,89.79,90.11,90.61,90
4,4,55.48,63.5,69.84,76.2,73.74,75.8,80.91,78.22,79.96,82.42,83.39,83.88,82.53,84.71,85.14,84.36,84.4,85.29,80.4,86.21,86.45,86.81,87.21,85.42,86,86.1,86.06,86.07,85.9,87.36,87.77,87.62,87.02,86.62,87.77,86.71,88.2,87.18,86.04,87.42,86.6,86.55,87.55,87.98,88.37,88.28,88.38,88.61,86.99,87.34,87.93,88.32,87.72,87.12,88.49,88.69,87.59,88.78,88.5,88.49,88.9,87.46,87.87,88.45,89.06,88.94,89.38,87.15,89.24,89.33,88.23,89.46,88.63,89.85,88.51,89.77,88.64,89.95,90.31,89.89,89.5,89.77,89.54,89.81,88.85,89.54,89.24,89.3,89.54,89.79,88.86,89.36,89.61,89.09,88.65,89.81,89.4,89.58,89.55,90
3,1,48.47,62.85,69.65,68.33,76.06,77.02,78.5,72.78,77.38,76.48,77.02,82.4,81.32,77.58,33.61,60.53,66.43,72.11,73.86,70.26,78.79,75.31,74.19,78.33,76.8,78.9,77.27,82.94,81.85,77.56,84.54,83.69,85.43,82.25,80,77.57,82.83,76.09,84.18,85.09,84.29,77.44,85.15,81.41,84.96,78.31,86.03,84.05,84.7,86.66,83.86,79.44,78.53,76.25,84.27,81.51,75.72,81.83,85.98,83.26,82.67,83.08,86.35,87.38,83.47,87.41,80.88,86.95,83.04,81.1,80.83,84.74,82.5,86.67,84.83,77.57,87.38,81.82,73.07,87.26,82.42,74.84,87.26,70.43,87.94,88.41,83.53,84.31,86.53,85.87,87.38,86.96,80.45,87.61,82.79,80.02,85.89,87.31,80.63,76.13
3,2,56.32,60.85,71.15,70.6,77.44,76.77,75.61,77.64,80.57,79.93,81.14,83.54,81.35,83.67,82.36,83.8,84,84.88,83.95,86.17,86.25,84.31,87.34,86.97,84.95,82.92,84.64,86.86,85.82,86.03,86.76,87.23,86.73,86.6,84.14,86.41,87.09,87.04,86.64,87.9,84.32,87.62,85.72,87.4,87.83,87.99,88.68,87.82,88.37,88.48,86.69,87.96,88.28,86.75,86.59,87.38,87.26,87.16,89.4,88.61,88.59,87.46,86.77,89.09,86.79,88.24,87.93,88.24,89.24,88.66,88.1,85.28,87.63,85.7,88.85,88.94,88.66,88.96,87.96,88.42,88.56,89.54,89.52,89.73,89.14,87.99,88.46,89.98,89.48,89.11,89.63,89.31,89.64,88.98,88.14,88.27,88.42,89.23,89.94,86.78
3,3,47.76,64.43,73.01,70.7,76.65,79.4,79.51,80.61,81.03,82.91,82.6,78.09,81.94,82.58,82.48,83.25,84.8,82.95,84.96,85.38,86.41,84.8,85.72,85.17,86.52,86.11,86.96,86.2,87.6,85.81,87.57,87.54,87.38,88.24,87.23,87.1,87.64,87.63,86.58,88.4,88.71,88.08,88.14,87.61,87.88,87.96,88.37,87.99,88.51,86.32,84.5,87.27,87.7,89.2,86.61,87.97,88.63,89.33,87.79,88.45,88.74,88.87,88.33,89.02,89.16,88.72,89.53,89.86,89.35,88.73,88.34,88.73,88.99,88.45,89.33,89.03,89.27,89.92,89.51,87.36,89.09,88.26,89.46,89.69,89.43,89.97,89.7,89.66,89.75,89.48,89.21,89.05,90.36,89.85,89.32,89.88,89.66,90.19,88.72,88.49
3,4,55.9,66.74,74.42,74.8,75.62,77.17,76.9,80.82,83.03,80.72,82.28,83.68,81.67,83.82,83.2,84.63,82.38,87.21,83.25,83.75,82.43,86.13,87.05,84.37,86.08,85.92,86.11,83.66,86.1,86.73,88.11,86.82,87.62,86.31,87.27,88.76,87.35,85.5,88.13,86.53,86.74,87.81,88,87.3,86.76,86.43,88.08,88.35,86.71,88.88,88.49,88.62,88.03,88.72,88.26,87.5,89.31,88.89,89.06,88.19,88.54,87.48,89.46,88.33,89.12,88.51,89.05,89.49,89.52,88.23,89.49,89.04,89.36,89.49,89.67,89.99,88.8,88.55,89.39,88.69,89.55,89.79,88.81,89.96,89.77,89.97,89.28,89.22,89.94,88.94,89.19,88.94,89.94,88.74,89.03,88.39,88.95,89.12,89,89.16
2,1,57.52,64.83,68.26,71.65,74.21,75.86,72.81,74.22,78.85,69.39,77.46,72.41,75.33,71.69,70.65,80.36,80.55,74.06,80.58,81.8,74.83,78.65,55.33,84.21,76.79,75.53,81.36,81.77,78,74.53,75.37,83.6,83.1,15.09,84.14,78.2,84.71,21.72,61.08,71.39,26.54,26.79,42.61,85.51,50.63,86.54,83.64,56.07,80.37,29.57,75.39,80.79,62.24,82.07,86.29,85.4,84.38,85.32,69.36,78.93,74.32,81.18,85.88,84.71,84.02,10.39,31.13,27.76,66.94,83.36,85.5,83.08,84.55,82.56,85.77,85.58,83.24,86.23,86.14,75.64,62.62,81.17,82.54,83.81,86.89,78.11,82.45,85.87,85.58,56.71,12.27,64.89,86.7,57.63,87.4,36.83,81.83,83.65,72.57,65.58
2,2,57.36,61.2,68.01,73.52,74.05,72.85,77.67,79.65,79.95,81.07,77.42,83.16,81.59,82.91,83.84,81.13,81.87,82.93,83.92,83.77,83.42,84.59,84.87,86.15,86.31,82.77,85.14,83.7,84.99,86.83,85.96,86.46,85.75,84.95,86.84,84.87,85.19,86.35,86,86.16,87.07,87.56,86.78,87.23,87.65,84.87,87.42,85.58,86.94,88.03,87.59,87.14,87.87,85.77,87.52,87.34,83.86,87.43,87.96,88.75,88.89,87.31,88.32,88.42,86.64,85.42,86.42,88.81,87.79,88.47,88.38,87.74,88.28,88.84,87.89,86.56,88.62,88.21,89.47,88.2,88.74,88.55,87.52,88.99,88.63,89.18,88.41,88.89,89.16,89.14,87.85,87.68,89.35,88.16,88.99,89.86,87.29,88.99,88.67,88.29
2,3,52.45,66.5,72.01,70.3,76.46,78.94,77.52,79.95,80.72,82.73,82.31,79.82,83.99,82.18,83.81,84.21,83.78,83.02,85.47,85.42,86.45,86.16,86.73,83.23,86.73,84.09,85.48,87,84.98,85.32,87.19,86.79,88.25,87.55,86.88,87.27,87.83,86.46,86.28,88.43,86.48,87.86,83.07,84.58,88.32,86.62,88.25,86.51,86.97,88.95,87.24,87.98,88.64,88.02,88.21,88.99,88.55,87.77,88.97,89.16,88.44,88.81,89.28,88.4,86.51,89.54,89.59,87.71,89.25,88.98,88.99,88.07,88.85,88.25,89.21,88.07,89.07,88.48,89.72,89.46,89.57,88.37,88.07,88.83,89.48,89.37,89.54,88.53,88.73,88.73,88.61,89.17,88.07,89.32,88.98,89.85,89.71,89.46,89.34,89.92
2,4,57.6,60.34,70.34,72.62,76.95,76.83,79.12,80.54,79.09,78.21,81.49,83.99,82.94,83.4,84.19,83.16,85.21,85.58,83.39,83.59,83.76,86.46,83.51,85.81,85.25,86.94,85.21,86.09,87.36,86.87,86.89,86.33,85.87,87.36,86.67,87.55,86.72,86.73,87.46,86.65,87.96,87.44,88.28,86.9,87.2,87.5,85.36,87.11,88.19,87.58,86.88,88.69,89.12,88.78,88.77,88.36,88.74,87.23,88.26,87.92,88.45,88.29,89.14,88.41,88.05,89.38,88.6,89.25,88.79,89.66,88.94,89.11,88.67,88.46,89.66,89.35,88.79,88.93,89.61,88.81,88.23,89.23,88.9,90.22,88.05,89.09,88.62,89.27,89.56,89.14,89.18,89.3,89.67,89.38,89.18,90.34,89.38,89.57,88.61,88.77
1,1,56.63,59.82,67.89,65.36,75.71,74.41,69.04,74.07,78.72,71.28,80.53,76.24,77.57,78.49,76.75,82.02,82.72,81.12,83.82,83.7,84.16,84.3,82.11,82.22,83.65,82.48,84.36,79.81,84,83.62,84.75,83.46,84.6,84.09,84.69,84.44,83.54,84.99,86.2,83.71,85.96,84.86,86.57,86.09,86.8,85,86.38,85.53,85.34,85.25,83.36,85.26,85.45,87.11,85.33,83.68,85.98,85.9,85.98,86.11,85.87,86.48,87.41,87.35,85.47,87.04,86.32,86.6,87.37,86.43,84.99,86.71,85.48,87.74,86.24,87.29,86.11,87.21,87.26,87.74,87.21,87.06,87.99,87.74,87.15,87.93,88.13,86.38,86.37,87.31,88.31,87.71,86.59,88.14,87.42,87.52,88.2,85.91,86.12,86.17
1,2,53.92,61.77,69.07,70.95,69.65,76.32,77.99,79.41,79.81,79.29,80.42,70.77,77.33,81.48,81.47,81.79,82.15,77.19,73.51,82.68,84.58,82.91,84.77,82.75,85.95,86.13,84.6,83.86,87,84.19,86.32,86.1,83.94,86.4,86.19,86.86,86.23,86.51,86.59,86.55,87.37,86.53,86.44,88.15,86.71,87.8,87.59,86.84,86.84,87.78,87.29,87.7,87.24,87.95,88.75,88.12,88.11,82.74,88.43,87.75,87.87,87.65,87.45,87.35,88.04,87.96,87.26,88.07,86.48,88.08,87.71,88.9,87.8,86.77,88.35,88.45,87.69,89.23,87.91,89.01,87.85,88.34,88.62,88.72,88.85,88.71,88.03,88.63,88.15,88.45,89.3,88.55,88.81,89,88.31,89.29,88.83,87.98,88.23,87.73
1,3,54.5,67.56,65.05,74.45,77.23,74.91,79.92,76.53,80.58,81.83,81.11,81.77,81.17,83.84,82.27,85.02,83.42,83.63,84.14,85.05,85.21,84.45,85.92,86.07,86.26,87.04,83.11,85.23,86.27,86.37,83.29,86.58,86.99,84.14,83.64,86.25,86.77,87.64,87.57,86.8,87.86,87.65,86.51,87.3,88.24,87.82,88.55,87.99,87.34,89.1,88.19,87.27,88.2,87.26,87.33,88.46,87.4,87.79,88.02,87.45,89.23,88.99,88.11,87.43,88.59,86.35,88.64,88.15,88.96,87,88.9,88.16,88.14,88.96,88.84,88.01,88.48,88.93,88.8,89.47,87.93,89.39,89.09,89.35,89.22,88.8,89.5,89.75,88.22,89.35,89.54,89.45,89.42,89.97,89.21,89.52,90.28,89.8,89.24,89.76
1,4,52.49,62.37,72.44,75.4,70.85,75.67,71.9,80.44,81.07,78.38,78.76,82.59,82.4,84.67,84.59,84.97,85.55,82.47,85.16,83.35,84.19,85.68,83.9,84.58,84.16,85.05,86.54,87.22,85.86,84.79,86.78,87.37,87.36,86.75,86.65,86.99,88.17,88.01,87.92,87.35,88.34,88.19,87.85,87.87,85.66,88.98,87,87.17,89.44,88.08,87.98,87.8,88.33,85.75,89,88.97,88.12,87.82,88.3,87.68,87.98,88.52,89.22,88.26,88.88,87.02,88.55,87.87,89.21,88.65,88.86,89.8,89.34,88.57,89.4,88.32,89.98,89.15,88.93,89.12,89.11,89.77,89.71,88.75,89.4,89.68,89.19,88.59,89.1,89.45,89.94,89.34,88.46,89.7,89.35,87.61,88.68,89.81,89.43,89.65
0,1,52.91,26.02,60.53,62.3,67.07,52.49,72.89,63.03,62.59,78.66,78.09,61.81,78.34,79.14,82.84,81.75,72.3,81.6,81.03,80.38,84.66,84.97,84.02,78.68,82.27,75.48,82.91,83.66,85.49,81.95,85.05,83.47,83.56,82.93,84.27,86.71,85.24,84.28,84.6,82.66,83.94,85.09,85.11,84.65,84.98,86.22,86.21,84.19,84.69,86.06,86.07,86,78.83,84.71,85.25,85.91,86.33,85.2,86.4,86.31,87.24,83.41,85.79,87.12,87.59,82.01,87.25,87.17,85.21,87.41,86.97,84.13,87.32,86.96,87.88,85.41,72.27,85.59,86.8,87.13,86.57,87.27,85.36,86.19,84.87,79.44,87.16,80.05,87.38,84.45,87.61,87.89,87.95,87.35,88.38,87.53,85.42,87.18,85.07,87.65
0,2,37.37,55.79,67.84,71.05,72.35,72.16,71.93,80.23,78.94,77.56,79.47,77.81,81.11,81.54,81.47,84.35,83.54,84.35,84.58,82.92,84.6,84.83,85.68,85.34,83.72,84.94,85.14,84.52,83.58,84.47,87.55,85.45,85.15,85.4,85.17,86.93,87.11,83.99,86.58,87.29,85.84,85.44,87.9,87.43,85.44,85.7,87.07,86.27,87.8,86.93,87.03,85.71,87.15,87.79,87.2,87.65,87.68,86.83,84.8,87.46,87.4,87.06,86.78,86.98,86.94,87.85,88.7,87.83,88.17,87.29,87.13,88.59,88.35,87.4,88.48,88.08,87.3,88.29,87.4,86.36,86.93,85.58,87.98,86.66,88.14,87.67,85.34,87.95,87.65,88.49,88.59,87.64,86.67,87.71,88.14,88.37,88.28,87.26,87.07,88.14
0,3,53.37,62.37,68.54,73.95,78.03,78.46,80.89,80.69,82.41,82.26,83.82,83.15,80.64,81.48,84.12,81.67,83.24,83.44,85.56,84.08,84.64,84.13,85.14,84.74,84.15,86.36,85.13,85.33,86.35,86.49,86.7,85.19,83.58,87.2,86.18,87.5,84.87,86.27,88.47,87.55,87.28,88.56,86.52,86.13,87.92,85.6,87.48,88.04,88.84,85.82,87.65,87.88,87.37,87.37,87.85,85.87,87.26,87.2,88.68,88.31,86.72,88.02,87.91,88.88,87.98,88.22,87.81,87.24,88.39,88.62,88.03,86.19,88.61,89.12,87.42,87.57,88.68,88.38,87.95,89.01,88.2,88.33,88.4,88.64,88.58,89.43,88.76,89.2,89.1,89.38,88.28,89.45,88.68,89.49,89.26,89.41,89.2,88.96,89.89,88.22
0,4,50.41,65.46,68.03,75.65,76.99,78.15,79.06,80.93,79.16,81.17,82.07,80.46,83.59,82.91,85.08,84.35,83.07,84.74,85.95,85.53,84.24,86.84,86.61,85.98,84.38,84.13,83.8,85.21,85.97,84.57,87.4,84.94,86.96,87.34,87.96,87.58,86.47,87.62,87.67,86.43,87.43,86.63,88.24,87.37,87.27,86.58,88.19,88.15,86.21,87.55,88.56,86.33,87.84,87.99,88.84,87.97,88.34,88.77,88.76,88.76,88.96,89.17,88.74,87.74,88.85,88.66,88.75,88.76,88.26,88.32,89.19,87.82,88.96,87.84,89.26,89.33,88.76,89.44,88.78,89.12,89.12,88.45,89.37,89.27,89.45,89.55,88.65,89.75,88.74,89.47,88.91,87.99,89.1,89.05,89.63,88.86,89.88,88.95,89.27,88.43
